frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:05:22 +0000] "GET /api/media/ba38c941-65bc-4e9f-bc4e-d3744644b17d HTTP/1.1" 200 1437 "https://ai.obtv.io/library/ba38c941-65bc-4e9f-bc4e-d3744644b17d" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.12:35566 - "GET /api/media/ba38c941-65bc-4e9f-bc4e-d3744644b17d/people HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:05:23 +0000] "GET /api/media/ba38c941-65bc-4e9f-bc4e-d3744644b17d/people HTTP/1.1" 200 2 "https://ai.obtv.io/library/ba38c941-65bc-4e9f-bc4e-d3744644b17d" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.12:35572 - "POST /api/media/ba38c941-65bc-4e9f-bc4e-d3744644b17d/studio HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:05:23 +0000] "POST /api/media/ba38c941-65bc-4e9f-bc4e-d3744644b17d/studio HTTP/1.1" 200 350 "https://ai.obtv.io/library/ba38c941-65bc-4e9f-bc4e-d3744644b17d" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.12:35576 - "GET /api/media/ba38c941-65bc-4e9f-bc4e-d3744644b17d/stream HTTP/1.1" 206 Partial Content
api-1              | INFO:     172.18.0.12:35592 - "GET /api/projects/51707a8e-228e-4dcb-8cb1-2542fcab3dd6/cut/feedback HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:05:23 +0000] "GET /api/projects/51707a8e-228e-4dcb-8cb1-2542fcab3dd6/cut/feedback HTTP/1.1" 200 12 "https://ai.obtv.io/library/ba38c941-65bc-4e9f-bc4e-d3744644b17d" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.12:35602 - "GET /api/projects/51707a8e-228e-4dcb-8cb1-2542fcab3dd6/chat HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:05:23 +0000] "GET /api/projects/51707a8e-228e-4dcb-8cb1-2542fcab3dd6/chat HTTP/1.1" 200 2 "https://ai.obtv.io/library/ba38c941-65bc-4e9f-bc4e-d3744644b17d" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
